CODI,PATH,PRESENCE,ERROR
B22-101,Data/Annotated\B22-101_0\00180.png,0,0.2872978746891022
B22-101,Data/Annotated\B22-101_0\00201.png,1,0.49659374356269836
B22-101,Data/Annotated\B22-101_0\00201_Aug1.png,1,0.49164989590644836
B22-101,Data/Annotated\B22-101_0\00201_Aug2.png,1,0.49716928601264954
B22-101,Data/Annotated\B22-101_0\00201_Aug3.png,1,0.4909174144268036
B22-101,Data/Annotated\B22-101_0\00201_Aug4.png,1,0.49721118807792664
B22-101,Data/Annotated\B22-101_0\00201_Aug5.png,1,0.4885338246822357
B22-101,Data/Annotated\B22-101_0\00201_Aug6.png,1,0.4972023367881775
B22-101,Data/Annotated\B22-101_0\00201_Aug7.png,1,0.49665945768356323
B22-101,Data/Annotated\B22-101_0\00201_Aug8.png,1,0.5017197728157043
B22-101,Data/Annotated\B22-101_0\00280.png,0,0.23015007376670837
B22-101,Data/Annotated\B22-101_0\00415.png,0,0.0238195788115263
B22-102,Data/Annotated\B22-102_0\01468.png,1,0.4903138279914856
B22-102,Data/Annotated\B22-102_0\01468_Aug1.png,1,0.48559167981147766
B22-102,Data/Annotated\B22-102_0\01468_Aug2.png,1,0.4573051333427429
B22-102,Data/Annotated\B22-102_0\01468_Aug3.png,1,0.4189589321613312
B22-102,Data/Annotated\B22-102_0\01468_Aug4.png,1,0.41447150707244873
B22-102,Data/Annotated\B22-102_0\01468_Aug5.png,1,0.040526654571294785
B22-102,Data/Annotated\B22-102_0\01468_Aug6.png,1,0.030191071331501007
B22-102,Data/Annotated\B22-102_0\01468_Aug7.png,1,0.02476532943546772
B22-102,Data/Annotated\B22-102_0\01468_Aug8.png,1,0.024058230221271515
B22-102,Data/Annotated\B22-102_0\03685.png,1,0.5106944441795349
B22-102,Data/Annotated\B22-102_0\03685_Aug1.png,1,0.5125150680541992
B22-102,Data/Annotated\B22-102_0\03685_Aug2.png,1,0.5080568194389343
B22-102,Data/Annotated\B22-102_0\03685_Aug3.png,1,0.5132953524589539
B22-102,Data/Annotated\B22-102_0\03685_Aug4.png,1,0.5077261924743652
B22-102,Data/Annotated\B22-102_0\03685_Aug5.png,1,0.5151582360267639
B22-102,Data/Annotated\B22-102_0\03685_Aug6.png,1,0.5057703256607056
B22-102,Data/Annotated\B22-102_0\03685_Aug7.png,1,0.5162678956985474
B22-102,Data/Annotated\B22-102_0\03685_Aug8.png,1,0.5065357089042664
B22-102,Data/Annotated\B22-102_0\03798.png,0,0.19776874780654907
B22-102,Data/Annotated\B22-102_0\03838.png,0,0.033423278480768204
B22-103,Data/Annotated\B22-103_0\02201.png,1,0.43549278378486633
B22-103,Data/Annotated\B22-103_0\02201_Aug1.png,1,0.46319451928138733
B22-103,Data/Annotated\B22-103_0\02201_Aug2.png,1,0.4522947072982788
B22-103,Data/Annotated\B22-103_0\02201_Aug3.png,1,0.019881801679730415
B22-103,Data/Annotated\B22-103_0\02201_Aug4.png,1,0.46517232060432434
B22-103,Data/Annotated\B22-103_0\02201_Aug5.png,1,0.01006055623292923
B22-103,Data/Annotated\B22-103_0\02201_Aug6.png,1,0.44526031613349915
B22-103,Data/Annotated\B22-103_0\02201_Aug7.png,1,0.010281389579176903
B22-103,Data/Annotated\B22-103_0\02201_Aug8.png,1,0.4912593364715576
B22-103,Data/Annotated\B22-103_0\02245.png,1,0.5012972354888916
B22-103,Data/Annotated\B22-103_0\02245_Aug1.png,1,0.5023819804191589
B22-103,Data/Annotated\B22-103_0\02245_Aug2.png,1,0.5021435618400574
B22-103,Data/Annotated\B22-103_0\02245_Aug3.png,1,0.5043165683746338
B22-103,Data/Annotated\B22-103_0\02245_Aug4.png,1,0.5007006525993347
B22-103,Data/Annotated\B22-103_0\02245_Aug5.png,1,0.504828691482544
B22-103,Data/Annotated\B22-103_0\02245_Aug6.png,1,0.5017609596252441
B22-103,Data/Annotated\B22-103_0\02245_Aug7.png,1,0.5037520527839661
B22-103,Data/Annotated\B22-103_0\02245_Aug8.png,1,0.49958646297454834
B22-103,Data/Annotated\B22-103_0\02790.png,0,0.26798030734062195
B22-104,Data/Annotated\B22-104_0\00398.png,0,0.010299050249159336
B22-104,Data/Annotated\B22-104_0\00438.png,0,0.03296585753560066
B22-104,Data/Annotated\B22-104_0\00553.png,0,0.015124001540243626
B22-104,Data/Annotated\B22-104_0\00555.png,0,0.01560045313090086
B22-104,Data/Annotated\B22-104_0\00557.png,0,0.012483494356274605
B22-106,Data/Annotated\B22-106_1\00071.png,0,0.024570288136601448
B22-106,Data/Annotated\B22-106_1\00079.png,0,0.3081325590610504
B22-106,Data/Annotated\B22-106_1\00125.png,0,0.021596550941467285
B22-106,Data/Annotated\B22-106_1\00128.png,0,0.027821991592645645
B22-106,Data/Annotated\B22-106_1\00166.png,0,0.02584768459200859
B22-106,Data/Annotated\B22-106_1\00269.png,0,0.031084192916750908
B22-106,Data/Annotated\B22-106_1\00281.png,0,0.03314924240112305
B22-106,Data/Annotated\B22-106_1\00319.png,0,0.037641093134880066
B22-106,Data/Annotated\B22-106_1\00344.png,0,0.03981257602572441
B22-106,Data/Annotated\B22-106_1\00389.png,0,0.030925925821065903
B22-106,Data/Annotated\B22-106_1\00469.png,0,0.033145468682050705
B22-107,Data/Annotated\B22-107_1\00016.png,0,0.02146536484360695
B22-107,Data/Annotated\B22-107_1\00174.png,0,0.042142104357481
B22-107,Data/Annotated\B22-107_1\00238.png,0,0.029148787260055542
B22-107,Data/Annotated\B22-107_1\00290.png,0,0.3057924211025238
B22-107,Data/Annotated\B22-107_1\00320.png,0,0.3006274700164795
B22-108,Data/Annotated\B22-108_0\00022.png,0,0.03522855043411255
B22-108,Data/Annotated\B22-108_0\00023.png,0,0.024890685454010963
B22-108,Data/Annotated\B22-108_0\00080.png,0,0.17576006054878235
