CODI,PATH,PRESENCE,ERROR
B22-129,Data\Annotated\B22-129_0\00659.png,0,8.693330164533108e-05
B22-68,Data\Annotated\B22-68_0\00131.png,0,6.814718653913587e-05
B22-68,Data\Annotated\B22-68_0\00141.png,0,6.01375759288203e-05
B22-68,Data\Annotated\B22-68_0\00290.png,0,9.634860180085525e-05
B22-68,Data\Annotated\B22-68_0\00298.png,0,7.169172022258863e-05
B22-68,Data\Annotated\B22-68_0\00315.png,0,7.343845209106803e-05
B22-68,Data\Annotated\B22-68_0\00352.png,0,7.858149183448404e-05
B22-52,Data\Annotated\B22-52_0\00760.png,0,4.319319486967288e-05
B22-124,Data\Annotated\B22-124_0\00011.png,0,9.748480806592852e-05
B22-124,Data\Annotated\B22-124_0\00759.png,0,0.0001339710725005716
B22-124,Data\Annotated\B22-124_0\00762.png,0,8.812110172584653e-05
B22-124,Data\Annotated\B22-124_0\00902.png,1,0.00012753640476148576
B22-124,Data\Annotated\B22-124_0\01143.png,0,9.436927211936563e-05
B22-124,Data\Annotated\B22-124_0\01419.png,0,0.0001755830307956785
B22-46,Data\Annotated\B22-46_0\00182.png,0,0.00023611233336851
B22-46,Data\Annotated\B22-46_0\00649.png,0,9.013656381284818e-05
B22-46,Data\Annotated\B22-46_0\00943.png,0,0.00020460374071262777
B22-46,Data\Annotated\B22-46_0\01039.png,1,0.00027011765632778406
B22-46,Data\Annotated\B22-46_0\01291.png,1,7.6911790529266e-05
B22-46,Data\Annotated\B22-46_0\01338.png,1,7.915001333458349e-05
B22-46,Data\Annotated\B22-46_0\01340.png,1,8.245358912972733e-05
B22-46,Data\Annotated\B22-46_0\01470.png,0,8.631712989881635e-05
B22-46,Data\Annotated\B22-46_0\01547.png,0,9.553662675898522e-05
B22-46,Data\Annotated\B22-46_0\01852.png,0,0.00023128744214773178
B22-46,Data\Annotated\B22-46_0\02336.png,0,0.0001352198887616396
B22-46,Data\Annotated\B22-46_0\02771.png,0,0.00037657684879377484
B22-46,Data\Annotated\B22-46_0\02831.png,0,0.0003292785841040313
B22-46,Data\Annotated\B22-46_0\02888.png,0,0.0002213749394286424
B22-46,Data\Annotated\B22-46_0\03030.png,0,6.648184353252873e-05
B22-170,Data\Annotated\B22-170_0\00055.png,0,0.00010604727867757902
B22-170,Data\Annotated\B22-170_0\00254.png,0,9.818458784138784e-05
B22-170,Data\Annotated\B22-170_0\00303.png,0,0.0001489862916059792
B22-170,Data\Annotated\B22-170_0\00793.png,0,0.00027100357692688704
B22-170,Data\Annotated\B22-170_0\00949.png,1,0.00014810188440605998
B22-170,Data\Annotated\B22-170_0\01015.png,1,0.0002438817173242569
B22-170,Data\Annotated\B22-170_0\01094.png,1,0.00031301844865083694
B22-170,Data\Annotated\B22-170_0\01095.png,0,0.0002782618976198137
B22-187,Data\Annotated\B22-187_0\00588.png,0,8.690342656336725e-05
B22-187,Data\Annotated\B22-187_0\00591.png,0,8.785293903201818e-05
B22-187,Data\Annotated\B22-187_0\00688.png,0,0.00013761708396486938
B22-187,Data\Annotated\B22-187_0\00692.png,0,0.00011686159996315837
B22-187,Data\Annotated\B22-187_0\00726.png,0,7.328232459258288e-05
B22-187,Data\Annotated\B22-187_0\00731.png,0,6.347901216940954e-05
B22-108,Data\Annotated\B22-108_0\00022.png,0,8.484011050313711e-05
B22-108,Data\Annotated\B22-108_0\00023.png,0,7.56469089537859e-05
B22-108,Data\Annotated\B22-108_0\00080.png,0,0.00011545122833922505
B22-172,Data\Annotated\B22-172_0\00101.png,0,0.0002221602771896869
B22-172,Data\Annotated\B22-172_0\00447.png,0,0.00016246222367044538
B22-172,Data\Annotated\B22-172_0\01205.png,0,0.00010765001934487373
B22-172,Data\Annotated\B22-172_0\01206.png,0,8.743023499846458e-05
B22-172,Data\Annotated\B22-172_0\01207.png,0,7.485739479307085e-05
B22-172,Data\Annotated\B22-172_0\01229.png,0,9.570884139975533e-05
B22-172,Data\Annotated\B22-172_0\01230.png,0,9.295773634221405e-05
B22-172,Data\Annotated\B22-172_0\01400.png,0,0.0003013882669620216
B22-172,Data\Annotated\B22-172_0\01401.png,0,0.00029764065402559936
B22-188,Data\Annotated\B22-188_0\00005.png,0,5.6309560022782534e-05
B22-188,Data\Annotated\B22-188_0\00254.png,0,7.25731224520132e-05
B22-188,Data\Annotated\B22-188_0\00256.png,0,6.972580740693957e-05
B22-37,Data\Annotated\B22-37_0\00045.png,1,7.718212145846337e-05
B22-37,Data\Annotated\B22-37_0\00054.png,0,7.975372864166275e-05
B22-37,Data\Annotated\B22-37_0\00272.png,1,0.00011287454981356859
B22-37,Data\Annotated\B22-37_0\00604.png,0,8.763450023252517e-05
B22-37,Data\Annotated\B22-37_0\00759.png,0,0.00011339659977238625
B22-37,Data\Annotated\B22-37_0\00919.png,1,8.758305921219289e-05
B22-142,Data\Annotated\B22-142_0\00087.png,0,6.769892934244126e-05
B22-304,Data\Annotated\B22-304_0\00283.png,0,0.00012299377704039216
B22-304,Data\Annotated\B22-304_0\00314.png,1,0.00040516917943023145
B22-304,Data\Annotated\B22-304_0\00318.png,1,0.00041218235855922103
B22-304,Data\Annotated\B22-304_0\00381.png,1,0.0003564052749425173
B22-304,Data\Annotated\B22-304_0\00716.png,0,0.00014997203834354877
B22-304,Data\Annotated\B22-304_0\00783.png,1,0.0004655752272810787
B22-304,Data\Annotated\B22-304_0\00799.png,0,7.420733163598925e-05
B22-304,Data\Annotated\B22-304_0\00973.png,1,0.00023195205722004175
B22-304,Data\Annotated\B22-304_0\01044.png,1,0.0006893008830957115
B22-304,Data\Annotated\B22-304_0\01100.png,1,0.0002774210588540882
B22-304,Data\Annotated\B22-304_0\01342.png,0,0.00026426720432937145
B22-304,Data\Annotated\B22-304_0\01658.png,1,0.0002897756057791412
B22-304,Data\Annotated\B22-304_0\01757.png,1,0.00023662918829359114
B22-296,Data\Annotated\B22-296_0\00307.png,1,0.00012451826478354633
B22-155,Data\Annotated\B22-155_0\00065.png,1,7.796981662977487e-05
B22-155,Data\Annotated\B22-155_0\00137.png,1,0.0004351961542852223
B22-155,Data\Annotated\B22-155_0\00317.png,1,0.00018791612819768488
B22-155,Data\Annotated\B22-155_0\00588.png,1,0.00024345828569494188
B22-155,Data\Annotated\B22-155_0\00742.png,0,8.574473758926615e-05
B22-155,Data\Annotated\B22-155_0\00754.png,0,0.00012658604828175157
B22-155,Data\Annotated\B22-155_0\00994.png,1,0.0001793231349438429
B22-155,Data\Annotated\B22-155_0\01228.png,0,9.732291800901294e-05
B22-155,Data\Annotated\B22-155_0\01395.png,0,0.00023908104049041867
B22-155,Data\Annotated\B22-155_0\01424.png,0,0.0002985188039019704
B22-155,Data\Annotated\B22-155_0\01518.png,0,0.00017461818060837686
B22-155,Data\Annotated\B22-155_0\01688.png,1,0.00027202500496059656
B22-155,Data\Annotated\B22-155_0\01760.png,1,0.00015132460976019502
B22-155,Data\Annotated\B22-155_0\01782.png,1,0.0001839510805439204
B22-155,Data\Annotated\B22-155_0\01909.png,1,0.00010572995233815163
B22-155,Data\Annotated\B22-155_0\02106.png,1,0.0002457460213918239
