CODI,PATH,PRESENCE,ERROR
B22-270,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-270_0/01134.png,0,0.011306324042379856
B22-270,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-270_0/01133.png,0,0.12681207060813904
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01236.png,0,0.1132785901427269
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/00285.png,0,0.10330834239721298
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01549.png,0,0.1647314578294754
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01092.png,0,0.16690483689308167
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug8.png,1,0.17393998801708221
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug6.png,1,0.17657333612442017
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01371.png,0,0.13249571621418
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653.png,1,0.17465727031230927
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01539.png,0,0.1635366976261139
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/00435.png,0,0.165184885263443
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug3.png,1,0.17540499567985535
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug5.png,1,0.17697198688983917
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug4.png,1,0.17408199608325958
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01729.png,0,0.08387827128171921
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug2.png,1,0.17683590948581696
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01239.png,0,0.1658928543329239
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/00390.png,0,0.1569005697965622
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01650.png,0,0.10371869802474976
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug1.png,1,0.17275471985340118
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug7.png,1,0.17861062288284302
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00582_Aug7.png,1,0.17383797466754913
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/01978_Aug8.png,1,0.16081206500530243
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00099.png,1,0.1631886065006256
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/01978_Aug4.png,1,0.16317574679851532
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00627_Aug1.png,1,0.17427769303321838
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00627_Aug7.png,1,0.16620315611362457
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/01522.png,0,0.09664502739906311
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00582_Aug4.png,1,0.16003145277500153
